Common Core of Data CD-ROM -- School Years 1996-1997 through 1999-2000
School Year 1998-99 Public School Universe data
Corrections to Agency Locale Codes
using Version 1c of the Public School Universe data files, dated June 2001

                                                          |     Locale Code     |
1715490 FORRESTVILLE VALLEY C U S D 221                   |     7         8     |
1716230 GARDNER COMM CONS SCH DIST 72C                    |     7         8     |
1716260 GARDNER S WILMINGTON THS DIST 73                  |     7         8     |
1716290 GAVIN SCHOOL DIST 37                              |     7         3     |
1716530 GERMANTOWN SCHOOL DISTRICT 60                     |     7         8     |
1717370 GRANT PARK C U  SCHOOL DIST 6                     |     7         8     |
1717700 GREENVIEW C U SCH DIST 200                        |     7         8     |
1717760 GRIDLEY C U SCH DIST 10                           |     7         8     |
1718840 HERSCHER COMM UNIT SCH DIST 2                     |     7         8     |
1718870 HEYWORTH C U SCH DIST 4                           |     7         8     |
1719260 HINCKLEY BIG ROCK C U S D 429                     |     7         8     |
1719960 ILLINI BLUFFS CU SCH DIST 327                     |     7         8     |
1719980 ILLIOPOLIS C U SCHOOL DIST 12                     |     7         8     |
1721300 HIAWATHA C U SCHOOL DIST 426                      |     7         8     |
1722710 LEXINGTON C U SCH DIST 7                          |     7         8     |
1723310 LIVINGSTON C C SCHOOL DIST 4                      |     7         8     |
1723700 LUDLOW C C SCHOOL DIST 142                        |     7         8     |
1724190 MALTA COMM UNIT SCH DIST 433                      |     7         8     |
1724750 MAROA FORSYTH C U SCH DIST 2                      |     7         8     |
1725190 MAZON-VERONA-KINSMAN ESD 2C                       |     7         8     |
1725690 MERIDIAN C U SCH DIST 223                         |     7         8     |
1727990 COMMUNITY UNIT SCHOOL DIST 16                     |     7         8     |
1728270 NEWARK COMM CONS SCH DIST 66                      |     7         3     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
1728470 NIANTIC-HARRISTOWN C U S D 6                      |     7         8     |
1729640 OGDEN COMM CONS SCH DIST 212                      |     7         8     |
1729890 OLYMPIA C U SCHOOL DIST 16                        |     7         8     |
1731140 PEMBROKE C C SCHOOL DISTRICT 259                  |     7         8     |
1731410 PORTA COMM UNIT SCHOOL DIST 202                   |     7         8     |
1731920 PLEASANT PLAINS C U SCHOOL DIST 8                 |     7         8     |
1732560 PRAIRIEVIEW COMM CONS DIST 192                    |     7         8     |
1734140 ROANOKE BENSON C U S DIST 60                      |     7         8     |
1735970 INDIAN CREEK COMM UNIT DIST 425                   |     7         8     |
1736240 SHIRLAND C C SCHOOL DIST 134                      |     7         4     |
1736510 SMITHTON C C SCHOOL DIST 130                      |     7         8     |
1736570 SOMONAUK C U SCHOOL DIST 432                      |     7         8     |
1736780 SOUTH PEKIN SCHOOL DIST 137                       |     7         8     |
1736840 SOUTH WILMINGTON CONS SCH DIST 74                 |     7         8     |
1736990 SPRING GROVE SCH DIST 11                          |     7         8     |
1737120 ST ANNE C C SCHOOL DIST 256                       |     7         8     |
1737140 ST ANNE COMM H S DIST 302                         |     7         8     |
1737350 TRIAD COMM UNIT SCHOOL DIST 2                     |     3         8     |
1737380 ST JOSEPH C C SCHOOL DIST 169                     |     7         8     |
1737410 ST JOSEPH OGDEN C H S DIST 305                    |     7         8     |
1737440 ST LIBORY CONS SCH DIST 30                        |     7         8     |
1738790 THOMASBORO C C SCHOOL DIST 130                    |     7         8     |
1739120 TOLONO C U SCHOOL DIST 7                          |     7         8     |
1739450 TRI CITY COMM UNIT SCH DIST 1                     |     7         8     |
1740830 WARRENSBURG-LATHAM C U DIST 11                    |     7         8     |
1740920 LOWPOINT-WASHBURN C U S DIST 21                   |     7         8     |
1742480 WILLIAMSVILLE C U SCHOOL DIST 15                  |     7         8     |
1742790 WINNEBAGO C U SCH DIST 323                        |     7         8     |
1802130 CLINTON CENTRAL SCHOOL CORP                       |     7         8     |
1803210 SHELBY EASTERN SCHOOLS                            |     7         3     |
1803330 EMINENCE COMMUNITY SCHOOL CORP                    |     7         3     |
1804140 MONROE-GREGG SCHOOL DISTRICT                      |     7         3     |
1804470 WESTERN SCHOOL CORP                               |     7         8     |
1806660 MILL CREEK COMMUNITY SCH CORP                     |     7         8     |
1807500 NEW HARMONY TOWN & TWP CON SCH                    |     7         8     |
1807620 NINEVEH-HENSLEY-JACKSON UNITED                    |     7         8     |
1808070 NORTH VERMILLION COM SCH CORP                     |     7         8     |
1809120 JOHN GLENN SCHOOL CORPORATION                     |     7         8     |
1809600 RISING SUN-OHIO CO COM                            |     7         8     |
1811190 SUNMAN-DEARBORN COM SCH CORP                      |     7         8     |
1812240 WA-NEE COMMUNITY SCHOOLS                          |     4         8     |
1905070 BONDURANT-FARRAR COMM SCHOOL DISTRICT             |     7         8     |
1906660 CENTER POINT-URBANA COMM SCHOOL DISTRICT          |     7         8     |
1908520 DALLAS CENTER-GRIMES COMM SCHOOL DISTRICT         |     7         4     |
1909540 DUNKERTON COMM SCHOOL DISTRICT                    |     7         8     |
1917250 LISBON COMM SCHOOL DISTRICT                       |     7         8     |
1918750 MARTENSDALE-ST MARYS COMM SCHOOL DISTRICT         |     7         8     |
1920820 NORTH LINN COMM SCHOOL DISTRICT                   |     7         4     |
1923110 PLEASANT VALLEY COMM SCHOOL DISTRICT              |     7         4     |
1926580 SOLON COMM SCHOOL DISTRICT                        |     7         8     |
1931350 WESTERN DUBUQUE COMM SCHOOL DISTRICT              |     7         8     |
1931950 WOODBURY CENTRAL COMM SCHOOL DISTRICT             |     7         8     |
1932010 WOODWARD-GRANGER COMM SCHOOL DISTRICT             |     7         8     |
2003780 BASEHOR-LINWOOD                                   |     7         8     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
2006330 FT LEAVENWORTH                                    |     7         3     |
2006540 GODDARD                                           |     7         8     |
2008550 BLUESTEM                                          |     7         8     |
2008970 LOUISBURG                                         |     7         8     |
2011080 RENWICK                                           |     7         8     |
2011220 FLINTHILLS                                        |     7         3     |
2012210 TONGANOXIE                                        |     7         8     |
2012300 CIRCLE                                            |     7         8     |
2101020 CARTER CO                                         |     7         4     |
2102130 GALLATIN CO                                       |     7         8     |
2102250 GRANT CO                                          |     7         8     |
2102400 GREENUP CO                                        |     7         8     |
2102490 HARDIN CO                                         |     6         7     |
2102990 JEFFERSON CO                                      |     3         2     |
2103960 MCCRACKEN CO                                      |     6         7     |
2104530 OLDHAM CO                                         |     7         3     |
2104740 PENDLETON CO                                      |     7         8     |
2105700 WALTON VERONA IND                                 |     7         3     |
2106000 WOODFORD CO                                       |     4         8     |
2200024 SAINT LANDRY CHARTER SCHOOL - AGENCY              |     7         4     |
2200030 ACADIA PARISH SCHOOL BOARD                        |     4         8     |
2302850 BAR HARBOR                                        |     6         7     |
2303780 BRUNSWICK                                         |     6         7     |
2304860 DAYTON                                            |     6         8     |
2304890 DEDHAM                                            |     6         8     |
2305300 EC-S CTY TEC 10                                   |     6         7     |
2308100 MECHANIC FALLS                                    |     7         8     |
2308280 MILLINOCKET                                       |     6         7     |
2309100 N PENOB TC R 3                                    |     6         7     |
2309110 SCH APPL TEC RG 9                                 |     6         7     |
2309330 ORRINGTON                                         |     6         8     |
2310500 SANFORD                                           |     6         7     |
2310710 S.A.D. 15       GRAY                              |     6         8     |
2311010 S.A.D. 24       VAN BUREN                         |     6         7     |
2311160 S.A.D. 29       HOULTON                           |     6         7     |
2311790 S.A.D.  6       BUXTON                            |     6         8     |
2314160 S.A.D. 52       TURNER                            |     6         8     |
2314210 S.A.D. 61       BRIDGTON                          |     7         6     |
2314330 S.A.D. 49       FAIRFIELD                         |     7         6     |
2314360 S.A.D. 47       OAKLAND                           |     6         7     |
2314440 S.A.D. 64       CORINTH                           |     6         7     |
2314470 S.A.D. 63       EDDINGTON                         |     2         8     |
2314560 S.A.D. 59       MADISON                           |     6         7     |
2314610 S.A.D. 53       PITTSFIELD                        |     6         7     |
2314760 S.A.D. 67       LINCOLN                           |     6         7     |
2314761 S.A.D. 68       DOVER-FOXCROFT                    |     6         7     |
2314768 S.A.D. 75       TOPSHAM                           |     8         7     |
2400030 BOARD OF EDUC, ALLEGANY COUNTY                    |     7         4     |
